Position ID,Action,Amount,Units,Open Date,Close Date,Leverage,Spread,Profit,Open Rate,Close Rate,Take profit rate,Stop lose rate,Rollover Fees and Dividends,Copied From,Type,ISIN,Notes
2316622589,Buy CSX Corp, 1.26 ,0.042770,04/11/2022 13:31:25,21/12/2022 15:49:30,1, 0.00 , 0.07 , 29.46 , 31.07 , 410.96 , 0.00 , 0.00 ,jaynemesis,Stocks,US1264081035,
2316632176,Buy Garmin Ltd., 1.26 ,0.014739,04/11/2022 13:31:53,21/12/2022 15:48:58,1, 0.00 , 0.10 , 85.49 , 92.16 ," 1,248.17 ", 0.00 , 0.01 ,jaynemesis,Stocks,CH0114405324,
2316595006,Buy Etsy Inc, 1.26 ,0.012250,04/11/2022 13:30:20,21/12/2022 14:54:01,1, 0.00 , 0.37 , 102.86 , 133.41 ," 1,294.54 ", 0.00 , 0.00 ,jaynemesis,Stocks,US29786A1060,
2316603493,Buy Cedar Fair LP, 1.05 ,0.025399,04/11/2022 13:30:39,21/12/2022 14:52:12,1, 0.00 ,(0.05), 41.34 , 39.37 , 481.14 , 0.00 , 0.00 ,jaynemesis,Stocks,US1501851067,
2316603541,Buy Cedar Fair LP, 1.05 ,0.025399,04/11/2022 13:30:39,21/12/2022 14:49:47,1, 0.00 ,(0.05), 41.34 , 39.29 , 480.26 , 0.00 , 0.00 ,jaynemesis,Stocks,US1501851067,
2336441128,"Sell Tesla Motors, Inc.", 1.06 ,0.006112,09/12/2022 14:31:31,21/12/2022 14:46:22,1, 0.00 , 0.21 , 173.42 , 139.33 , 0.00 , 260.12 , 0.00 ,jaynemesis,CFD,,
2338354213,"Sell Tesla Motors, Inc.", 1.06 ,0.006408,13/12/2022 15:07:57,21/12/2022 14:46:11,1, 0.00 , 0.17 , 165.41 , 138.91 , 0.00 , 248.11 , 0.00 ,jaynemesis,CFD,,
2335996957,"Sell Tesla Motors, Inc.", 1.06 ,0.006096,08/12/2022 15:43:18,21/12/2022 14:46:04,1, 0.00 , 0.21 , 173.88 , 138.98 , 0.00 , 260.82 , 0.00 ,jaynemesis,CFD,,
2316603917,Buy Cedar Fair LP, 1.05 ,0.025399,04/11/2022 13:30:40,20/12/2022 20:43:50,1, 0.00 ,(0.08), 41.34 , 38.25 , 480.70 , 0.00 , 0.00 ,jaynemesis,Stocks,US1501851067,
2316621234,Buy CSX Corp, 1.05 ,0.035642,04/11/2022 13:31:20,20/12/2022 20:38:22,1, 0.00 , 0.05 , 29.46 , 30.73 , 317.68 , 0.00 , 0.00 ,jaynemesis,Stocks,US1264081035,
2316641763,Buy Ubiquiti Inc, 1.26 ,0.003829,04/11/2022 13:32:25,20/12/2022 15:41:34,1, 0.00 ,(0.21), 329.07 , 274.25 ," 3,106.73 ", 0.00 , 0.00 ,jaynemesis,Stocks,US90353W1036,
2316441512,Buy Vestas Wind Systems A/S, 1.36 ,0.065244,04/11/2022 11:18:54,20/12/2022 15:39:22,1, 0.01 , 0.31 , 158.26 , 191.55 ," 2,008.78 ", 0.05 , 0.00 ,jaynemesis,CFD,,
2316441560,Buy Orsted A/S, 1.36 ,0.016326,04/11/2022 11:18:54,20/12/2022 15:38:12,1, 0.00 ,(0.02), 632.45 , 625.56 ," 7,956.75 ", 0.34 , 0.00 ,jaynemesis,CFD,,
2341869532,Sell Meta Platforms Inc, 1.06 ,0.009161,19/12/2022 17:30:37,20/12/2022 15:36:26,1, 0.00 , 0.00 , 115.71 , 115.51 , 0.00 , 173.54 , 0.00 ,jaynemesis,CFD,,
2316621010,Buy CSX Corp, 1.36 ,0.046164,04/11/2022 13:31:19,19/12/2022 17:30:16,1, 0.00 , 0.09 , 29.46 , 31.36 , 396.00 , 0.00 , 0.00 ,jaynemesis,Stocks,US1264081035,
2316599936,Buy Microsoft, 1.26 ,0.005795,04/11/2022 13:30:31,16/12/2022 15:09:59,1, 0.00 , 0.17 , 217.42 , 247.58 ," 3,348.95 ", 0.00 , 0.00 ,jaynemesis,Stocks,US5949181045,
2316604530,Buy Wabtec Corp, 1.26 ,0.013404,04/11/2022 13:30:41,13/12/2022 15:07:45,1, 0.00 , 0.13 , 94.00 , 103.86 , 987.91 , 0.00 , 0.00 ,jaynemesis,Stocks,US9297401088,
